startterminal hour startcount endcount
31227 3 17 12
31228 3 51 156
31229 3 197 109
31230 3 19 16
31231 3 1 4
31232 3 28 29
31233 3 27 18
31234 3 24 51
31235 3 10 17
31236 3 14 24
31237 3 47 75
31238 3 13 10
31239 3 46 32
31240 3 13 10
31241 3 80 127
31242 3 18 17
31243 3 7 11
31244 3 15 53
31245 3 36 38
31246 3 35 47
31247 3 18 26
31248 3 18 9
31249 3 13 7
31250 3 7 6
31251 3 9 50
31252 3 7 1
31253 3 13 2
31254 3 8 6
31255 3 2 25
31256 3 10 6
31257 3 17 21
31258 3 3 2
31300 3 15 25
31301 3 10 14
31302 3 16 30
31303 3 27 20
31304 3 10 7
31305 3 11 27
31306 3 4 9
31307 3 11 15
31400 3 38 89
31401 3 22 186
31402 3 13 29
31404 3 6 65
31500 3 10 29
31501 3 3 1
31502 3 1 8
31503 3 36 116
31504 3 2 6
31505 3 5 49
31506 3 19 73
31507 3 1 1
31508 3 6 9
31600 3 25 74
31601 3 5 22
31602 3 79 117
31603 3 26 72
31604 3 48 82
31605 3 12 37
31606 3 25 47
31607 3 4 21
31608 3 15 9
31609 3 1 16
31610 3 38 26
31611 3 59 50
31612 3 10 49
31613 3 46 42
31614 3 42 57
31615 3 57 57
31616 3 123 55
31617 3 115 25
31618 3 16 31
31619 3 26 52
31620 3 22 17
31621 3 26 11
31622 3 15 50
31623 3 58 98
31624 3 48 150
31625 3 4 18
31626 3 7 25
31628 3 6 58
31703 3 3 2
31707 3 1 2
31708 3 4 4
31801 3 1 1
31805 3 1 1
31002 4 1 4
31003 4 1 2
31005 4 2 1
31007 4 3 10
31008 4 1 1
31010 4 2 3
31011 4 2 4
31014 4 11 27
31015 4 10 6
31016 4 3 3
31017 4 12 5
31018 4 2 4
31020 4 6 4
31022 4 2 5
31024 4 1 3
31026 4 2 3
31027 4 1 3
31029 4 1 4
31030 4 4 2
31032 4 1 2
31034 4 2 3
31037 4 3 10
31039 4 6 4
31044 4 1 1
31047 4 1 1
31048 4 1 1
31052 4 1 2
31100 4 1 6
31101 4 100 33
31102 4 42 18
31103 4 49 35
31104 4 83 56
31105 4 42 30
31106 4 23 51
31107 4 108 57
31108 4 28 7
31109 4 21 38
31110 4 50 32
31111 4 28 28
31112 4 1 7
31113 4 29 22
31115 4 13 20
31116 4 51 32
31200 4 51 50
31201 4 25 32
31202 4 14 25
31203 4 72 39
31204 4 20 17
31205 4 20 33
31206 4 10 6
31207 4 9 10
31208 4 5 85
31212 4 14 136
31213 4 7 5
31214 4 30 22
31215 4 6 10
31216 4 4 6
31217 4 5 6
31219 4 1 5
31220 4 5 19
31221 4 20 8
31222 4 8 9
31223 4 24 19
31224 4 8 31
31225 4 13 25
31227 4 8 8
31228 4 14 29
31229 4 73 54
31230 4 8 12
31231 4 2 4
31232 4 5 18
31233 4 6 4
31234 4 42 24
31235 4 17 9
31236 4 3 13
31237 4 3 22
31238 4 3 9
31239 4 9 16
31240 4 3 10
31241 4 48 36
31242 4 2 86
31243 4 4 3
31244 4 3 12
31245 4 37 15
31246 4 10 10
31247 4 14 15
31248 4 6 13
31249 4 14 20
31250 4 1 2
31251 4 10 19
31253 4 4 1
31254 4 1 1
31256 4 1 2
31257 4 7 30
31258 4 1 2
31300 4 12 8
31301 4 13 8
31302 4 38 4
31303 4 8 12
31304 4 5 4
31305 4 7 2
31306 4 10 2
31307 4 13 11
31400 4 18 15
31401 4 61 46
31402 4 4 8
31404 4 4 38
31500 4 19 7
31501 4 2 3
31503 4 31 22
31504 4 4 1
31505 4 3 12
31506 4 31 21
31508 4 8 2
31600 4 43 43
31601 4 1 19
31602 4 43 40
31603 4 13 21
31604 4 110 37
31605 4 20 9
31606 4 18 24
31607 4 2 12
31608 4 36 2
31609 4 4 10
31610 4 11 7
31611 4 18 19
31612 4 38 15
31613 4 17 18
31614 4 21 15
31615 4 37 42
31616 4 21 26
31617 4 10 19
31618 4 17 17
31619 4 113 13
31620 4 10 6
31621 4 54 12
31622 4 22 6
31623 4 15 198
31624 4 15 104
31625 4 10 51
31626 4 5 4
31628 4 1 25
31700 4 3 3
31703 4 2 1
31705 4 2 4
31707 4 74 1
31801 4 1 2
31804 4 4 1
31806 4 5 1
31001 5 5 9
31002 5 9 6
31003 5 7 5
31004 5 1 1
31005 5 81 2
31006 5 10 29
31007 5 39 37
31008 5 40 1
31009 5 4 38
31011 5 5 5
31013 5 9 1
31014 5 11 29
31015 5 106 24
31016 5 7 24
31017 5 23 37
31020 5 7 2
31021 5 9 5
31022 5 13 6
31023 5 4 12
31024 5 19 7
31025 5 7 4
31026 5 2 3
31028 5 2 22
31029 5 14 1
31030 5 19 4
31031 5 55 1
31033 5 7 3
31034 5 3 3
31035 5 14 2
31036 5 4 1
31037 5 3 9
31038 5 4 4
31039 5 9 3
31040 5 1 1
31041 5 1 1
31042 5 1 11
31043 5 1 1
31045 5 14 1
31046 5 2 12
31100 5 9 12
31101 5 183 85
31102 5 96 10
31103 5 439 111
31104 5 137 114
31105 5 80 34
31106 5 96 246
31107 5 133 24
31108 5 119 27
31109 5 69 59
31110 5 65 57
31111 5 41 36
31112 5 1 21
31113 5 147 10
31115 5 22 12
31116 5 68 74
31200 5 74 348
31201 5 119 106
31202 5 43 17
31203 5 263 65
31204 5 51 24
31205 5 25 101
31206 5 2 77
31207 5 59 3
31208 5 111 105
31210 5 22 4
31211 5 1 57
31212 5 52 217
31213 5 84 93
31214 5 374 33
31215 5 3 146
31216 5 4 97
31217 5 21 55
31218 5 29 17
31219 5 8 74
31220 5 11 174
31221 5 2 81
31222 5 6 15
31223 5 135 38
31224 5 30 24
31225 5 13 148
31226 5 44 99
31227 5 10 35
31228 5 13 84
31229 5 251 111
31230 5 4 31
31231 5 6 14
31232 5 20 305
31233 5 23 19
31234 5 57 55
31235 5 15 29
31236 5 12 54
31237 5 62 48
31238 5 5 24
31239 5 21 118
31240 5 6 15
31241 5 190 44
31242 5 29 30
31243 5 5 20
31244 5 10 88
31245 5 334 29
31246 5 14 76
31247 5 28 27
31248 5 4 6
31249 5 18 23
31250 5 3 8
31251 5 113 41
31252 5 6 3
31253 5 2 2
31254 5 2 15
31255 5 11 21
31256 5 3 13
31257 5 15 40
31258 5 9 16
31300 5 53 50
31301 5 17 23
31302 5 89 22
31303 5 46 14
31304 5 3 13
31305 5 11 6
31306 5 84 3
31307 5 87 7
31400 5 107 5
31401 5 25 24
31402 5 14 6
31404 5 13 15
31500 5 33 3
31501 5 2 2
31503 5 129 17
31504 5 11 2
31505 5 22 5
31506 5 153 8
31507 5 2 38
31508 5 9 1
31600 5 153 36
31601 5 77 14
31602 5 147 72
31603 5 60 23
31604 5 280 73
31605 5 77 46
31606 5 134 25
31607 5 45 27
31608 5 229 92
31609 5 10 6
31610 5 35 9
31611 5 110 11
31612 5 237 15
31613 5 63 52
31614 5 58 14
31615 5 26 74
31616 5 103 43
31617 5 23 6
31618 5 176 11
31619 5 133 8
31620 5 21 58
31621 5 4 73
31622 5 209 5
31623 5 255 417
31624 5 35 286
31625 5 62 200
31626 5 58 7
31628 5 115 14
31700 5 2 2
31702 5 1 2
31703 5 3 2
31705 5 2 5
31707 5 9 1
31708 5 2 1
31801 5 2 1
31802 5 2 4
31805 5 1 3
31806 5 4 1
31000 6 7 7
31001 6 97 32
31002 6 126 34
31003 6 66 39
31005 6 74 39
31006 6 74 23
31007 6 256 397
31008 6 175 12
31009 6 29 293
31011 6 34 101
31012 6 91 28
31013 6 96 21
31014 6 113 143
31015 6 121 88
31016 6 10 11
31017 6 60 95
31018 6 82 3
31019 6 14 4
31020 6 13 24
31021 6 87 17
31022 6 32 8
31023 6 21 27
31024 6 68 38
31025 6 14 14
31026 6 39 3
31027 6 14 33
31028 6 52 38
31029 6 125 8
31030 6 74 7
31031 6 125 10
31032 6 32 7
31033 6 32 6
31034 6 12 9
31035 6 28 15
31036 6 21 7
31037 6 45 70
31038 6 38 9
31039 6 15 7
