longitude,latitude
-87.676942,41.795928
-87.676942,41.795928
-87.669011,41.94717
-87.624924,41.697011
-87.7278,41.883448
-87.593527,41.810764
-87.601045,41.705566
-87.659851,41.865303
-87.659947,41.984417
-87.731759,41.85133
-87.642822,41.673016
-87.653001,41.72933
-87.653001,41.72933
-87.640144,41.829991
-87.771702,41.912002
-87.751853,41.888745
-87.694916,41.82836
-87.686373,41.831053
-87.753723,41.887939
-87.610947,41.78009
-87.682161,41.728772
-87.599324,41.778221
-87.685112,41.748665
-87.555489,41.659875
-87.660132,41.762123
-87.685699,41.867636
-87.674368,41.80658
-87.731193,41.907329
-87.713312,41.862311
-87.640744,41.906957
-87.605664,41.735615
-87.68843,41.903889
-87.630932,41.704446
-87.610438,41.813004
-87.739877,41.876801
-87.699436,41.870001
-87.768159,41.900097
-87.722815,41.863986
-87.643771,41.793231
-87.649071,41.718884
-87.722859,41.855123
-87.656148,41.768773
-87.608464,41.777264
-87.639117,41.685008
-87.716867,41.890052
-87.751574,41.949825
-87.630669,41.698069
-87.706574,41.809022
-87.698628,41.871182
-87.702108,41.819738
-87.604225,41.747525
-87.695928,41.776968
-87.67012,42.006075
-87.691172,41.781455
-87.730458,41.843327
-87.794301,41.949427
-87.685908,41.778089
-87.660285,41.75029
-87.622292,41.687952
-87.732274,41.863004
-87.607014,41.779006
-87.607014,41.779006
-87.607014,41.779006
-87.590012,41.758839
-87.660791,41.761207
-87.645111,41.786839
-87.751024,41.922171
-87.731753,41.915387
-87.670421,41.779598
-87.617086,41.651999
-87.637445,41.75792
-87.665912,41.746297
-87.661059,41.792771
-87.731879,41.840036
-87.664089,41.762974
-87.64338,41.783516
-87.662578,41.728629
-87.717229,41.968471
-87.689876,41.872141
-87.725335,41.906
-87.687585,41.997487
-87.660356,41.797844
-87.670757,41.757264
-87.600558,41.778366
-87.689521,41.874189
-87.692505,41.785686
-87.60494,41.751399
-87.722043,41.83629
-87.7027,41.797074
-87.712337,41.83854
-87.708255,41.777167
-87.562257,41.73944
-87.675939,41.85027
-87.600606,41.751226
-87.621602,41.818184
-87.686207,41.878097
-87.619349,41.793765
-87.709947,41.910863
-87.757957,41.888394
-87.689257,41.768349
-87.549612,41.750933
-87.603551,41.776319
-87.645392,41.944838
-87.671082,41.852103
-87.62044,41.793947
-87.771456,41.892745
-87.645462,41.679149
-87.566802,41.709434
-87.6093,41.704529
-87.658714,41.750533
-87.688407,41.76903
-87.616604,41.798564
-87.655614,41.682898
-87.617896,41.675616
-87.721582,41.877029
-87.662626,41.806378
-87.579134,41.762251
-87.705628,41.859648
-87.750968,41.900033
-87.615417,41.777739
-87.563541,41.751875
-87.563541,41.751875
-87.67665,41.796099
-87.695589,41.846336
-87.66829,41.801619
-87.663654,41.91251
-87.718889,41.943024
-87.71419,41.893757
-87.717695,41.854283
-87.758753,41.884784
-87.70233,41.850097
-87.686864,41.902179
-87.655784,41.786977
-87.6946,41.773736
-87.617262,41.786864
-87.703985,41.855002
-87.627904,41.792479
-87.658821,41.800159
-87.674584,41.770137
-87.667653,41.776017
-87.572312,41.759804
-87.666541,42.020429
-87.666541,42.020429
-87.609226,41.730994
-87.687529,41.917457
-87.636358,41.896453
-87.676941,42.022659
-87.683336,41.762693
-87.641658,41.898183
-87.661384,41.722941
-87.686199,41.777934
-87.590487,41.757014
-87.729509,41.778686
-87.685069,41.826408
-87.692562,41.78766
-87.646743,41.948801
-87.646024,41.740156
-87.748343,41.870113
-87.656615,41.988264
-87.672812,41.7892
-87.648819,41.789172
-87.752253,41.922048
-87.701382,41.84982
-87.625613,41.769075
-87.66314,41.79149
-87.727797,41.940105
-87.768062,41.897371
-87.737181,41.879732
-87.67274,42.001798
-87.741113,41.879406
-87.662188,41.789937
-87.684821,41.764781
-87.726376,41.900081
-87.563962,41.753464
-87.671475,41.772985
-87.608123,41.699779
-87.705489,41.968369
-87.645974,41.784402
-87.670094,41.813027
-87.649616,41.7843
-87.70534,41.859822
-87.775223,41.902181
-87.605036,41.703678
-87.64715,41.802357
-87.694368,41.775271
-87.644792,41.774203
-87.644792,41.774203
-87.651176,41.887425
-87.651176,41.887425
-87.62641,41.816306
-87.744856,41.873237
-87.709662,41.824214
-87.752508,41.916959
-87.669599,41.779266
-87.58595,41.744378
-87.763122,41.882468
-87.574807,41.771759
-87.629675,41.685127
-87.600546,41.777823
-87.730757,41.878696
-87.731646,41.87712
-87.706764,41.961304
-87.713111,41.955501
-87.606538,41.760767
-87.687339,41.87618
-87.601506,41.735946
-87.666648,42.021892
-87.695211,41.795309
-87.610809,41.774139
-87.651133,41.689515
-87.715029,41.933967
-87.657774,41.968715
-87.610988,41.781962
-87.655728,41.692303
-87.689649,41.814634
-87.76366,41.914493
-87.748955,41.888769
-87.674095,41.780975
-87.710019,41.800198
-87.668088,41.736405
-87.663792,41.759542
-87.661476,41.76505
-87.665181,41.773612
-87.638374,41.716635
-87.638661,41.681493
-87.697139,41.818701
-87.693231,41.793808
-87.678239,41.855417
-87.613093,41.78167
-87.643312,41.730299
-87.659543,41.741416
-87.629386,41.791771
-87.628163,41.688778
-87.602027,41.822282
-87.66615,41.812046
-87.667618,41.902577
-87.663076,41.772316
-87.672428,41.763379
-87.614369,41.736614
-87.614369,41.736614
-87.614369,41.736614
-87.718752,41.87728
-87.763549,41.886413
-87.704535,41.864423
-87.638825,41.733307
-87.667978,41.973673
-87.609352,41.659022
-87.609352,41.659022
-87.609352,41.659022
-87.564686,41.759117
-87.687284,41.816637
-87.703002,41.786142
-87.631634,41.777981
-87.701073,41.779112
-87.755145,41.886558
-87.766087,41.912551
-87.598339,41.751466
-87.723918,41.859914
-87.566394,41.752608
-87.670935,41.809785
-87.676835,41.792313
-87.631039,41.760587
-87.75481,41.877357
-87.75481,41.877357
-87.566312,41.762901
-87.609125,41.710318
-87.640245,41.834237
-87.682953,41.759164
-87.652913,41.831692
-87.753334,41.918316
-87.712526,41.853212
-87.62528,41.678527
-87.638567,41.772137
-87.73348,41.876877
-87.615701,41.777285
-87.720118,41.943259
-87.651622,41.767997
-87.680772,41.773373
-87.63418,41.69536
-87.569826,41.76641
-87.611487,41.765592
-87.755483,41.969646
-87.631742,41.894715
-87.713848,41.955771
-87.725369,41.923358
-87.725316,41.874757
-87.669193,41.954103
-87.602575,41.749921
-87.76519,41.909273
-87.608349,41.772763
-87.623792,41.773271
-87.649216,41.712858
