fips	june2011	dec2012
48323	0.9787	0.9781
48325	0.9277	0.9330
48327	0.5305	0.5319
48329	0.9890	0.9935
48331	0.8448	0.8376
48333	0.9934	0.9993
48335	0.6269	0.5014
48337	0.8612	0.8701
48339	0.9719	0.9705
48341	0.9403	0.9429
48343	0.7392	0.7127
48345	0.8380	0.8430
48347	0.8894	0.8800
48349	0.7605	0.7465
48351	0.4243	0.3871
48353	0.8572	0.8724
48355	0.9999	0.9999
48357	0.8785	0.8326
48359	0.5108	0.5012
48361	0.9404	0.8852
48363	0.8123	0.8989
48365	0.5405	0.4861
48367	0.9985	0.9992
48369	0.8642	0.8781
48371	0.7946	0.7697
48373	0.9530	0.9472
48375	0.9544	0.9450
48377	0.8403	0.8651
48379	0.7805	0.9361
48381	0.9724	0.9652
48383	0.7987	0.7732
48385	0.7892	0.8026
48387	0.5849	0.5561
48389	0.8605	0.8568
48391	0.9742	0.9703
48393	0.5868	0.5493
48395	0.6672	0.6186
48397	1.0000	1.0000
48399	0.8549	0.8521
48401	0.8477	0.8763
48403	0.5209	0.5602
48405	0.4379	0.7897
48407	0.8602	0.8573
48409	0.9973	0.9974
48411	0.9929	1.0000
48413	0.5591	0.5606
48415	0.8223	0.8066
48417	0.8242	0.8539
48419	0.4482	0.6488
48421	0.7704	0.7679
48423	0.9530	0.9620
48425	0.9651	0.9641
48427	0.9092	0.9484
48429	0.7597	0.7435
48431	0.6444	0.6740
48433	0.8450	0.8699
48435	0.7089	0.7162
48437	0.9814	0.9810
48439	0.9996	1.0000
48441	0.9594	0.9517
48443	0.0000	0.0000
48445	0.8823	0.8880
48447	0.7777	0.7694
48449	0.6040	0.5186
48451	0.9058	0.9079
48453	0.9990	0.9986
48455	0.7647	0.7638
48457	0.4340	0.4050
48459	0.9138	0.9352
48461	0.8684	0.8321
48463	0.9303	0.9187
48465	0.9272	0.9339
48467	0.7053	0.7695
48469	0.9858	0.9861
48471	0.7701	0.7298
48473	0.7815	0.6430
48475	0.9659	0.9661
48477	0.6632	0.6549
48479	0.9681	0.9884
48481	0.6543	0.6606
48483	0.7131	0.7184
48485	0.9821	0.9804
48487	0.9364	0.9355
48489	0.9008	0.9993
48491	0.9826	0.9862
48493	0.9969	0.9969
48495	0.9640	0.9580
48497	0.9895	0.9974
48499	0.7794	0.9256
48501	0.7860	0.7365
48503	0.8825	0.9400
48505	0.8683	0.8683
48507	0.9015	0.7221
49001	0.9390	0.9574
49003	0.9553	0.9542
49005	0.9883	0.9895
49007	0.9307	0.9674
49009	0.0000	0.0000
49011	0.9997	0.9999
49013	0.7578	0.7154
49015	0.9126	0.9002
49017	0.8636	0.8750
49019	0.9450	0.9361
49021	0.9768	0.9815
49023	0.7378	0.7099
49025	0.7106	0.7010
49027	0.8354	0.8257
49029	0.7777	0.9302
49031	0.9338	0.9320
49033	0.9123	0.9171
49035	0.9964	0.9973
49037	0.5440	0.5045
49039	0.8917	0.8681
49041	0.9477	0.9402
49043	0.9361	0.9388
49045	0.9781	0.9736
49047	0.9114	0.9127
49049	0.9932	0.9966
49051	0.9136	0.9423
49053	0.9860	0.9856
49055	0.8048	0.7972
49057	0.9734	0.9875
50001	0.7012	0.6168
50003	0.8889	0.8120
50005	0.7706	0.6315
50007	0.9689	0.9591
50009	0.5272	0.1946
50011	0.9290	0.7562
50013	0.9506	0.6746
50015	0.8451	0.6046
50017	0.8487	0.6708
50019	0.7995	0.5586
50021	0.8921	0.8693
50023	0.8574	0.7784
50025	0.8806	0.7568
50027	0.9198	0.8759
51001	0.8060	0.8098
51003	0.8974	0.8923
51005	0.8234	0.8209
51007	0.6788	0.6443
51009	0.7114	0.7094
51011	0.4463	0.4556
51013	1.0000	1.0000
51015	0.8581	0.8751
51017	0.4845	0.6072
51019	0.7494	0.7637
51021	0.4992	0.5179
51023	0.8201	0.8204
51025	0.4525	0.3471
51027	0.6185	0.6210
51029	0.5285	0.5333
51031	0.8879	0.8542
51033	0.6970	0.8464
51035	0.9994	0.9994
51036	0.7911	0.8028
51037	0.3140	0.3186
51041	0.9856	0.9865
51043	0.6932	0.7014
51045	0.4858	0.5346
