lon	lat	zip
-84.171	33.919	30093
-117.753	34.086	91767
-117.750	34.004	91709
-95.926	30.063	77484
-73.830	41.099	10591
-97.113	32.723	76010
-90.116	42.683	53530
-75.062	40.054	19152
-120.942	37.644	95354
-86.946	34.578	35601
-96.018	43.516	56129
-104.960	39.610	80121
-108.838	35.074	87327
-87.655	41.556	60430
-79.947	38.979	26250
-110.305	31.558	85635
-77.408	38.878	20151
-80.945	35.290	28214
-71.471	41.427	2882
-81.424	41.671	44095
-104.875	39.628	80111
-72.330	43.463	3745
-77.160	38.947	22101
-86.482	38.729	47446
-110.767	32.212	85748
-71.230	42.287	2494
-120.454	38.133	95224
-83.054	42.386	48212
-118.250	33.883	90220
-83.339	43.047	48446
-77.312	38.856	22030
-88.154	40.313	61866
-117.909	33.678	92626
-81.665	39.389	45784
-76.989	38.912	20003
-70.946	43.146	3824
-87.751	45.058	54157
-80.196	26.357	33428
-122.039	36.987	95060
-93.266	45.006	55418
-108.749	35.522	87301
-90.461	44.589	54436
-87.717	41.616	60445
-118.498	34.282	91344
-74.390	40.392	8884
-112.377	33.493	85338
-87.669	41.937	60657
-72.492	44.189	5641
-105.478	44.281	82717
-121.772	37.695	94551
-95.667	29.722	77082
-79.939	40.324	15025
-84.437	39.387	45011
-76.996	42.876	14456
-97.248	32.808	75089
-86.336	35.769	37127
-108.021	39.441	81635
-87.440	38.791	47516
-80.233	25.920	33054
-74.242	40.508	10307
-117.061	33.125	92025
-86.700	31.500	36474
-81.883	26.581	33919
-96.666	34.869	74820
-87.079	35.618	38401
-166.486	65.333	99785
-77.088	38.920	20007
-93.211	34.440	71964
-86.093	39.868	46220
-83.099	42.395	48203
-97.475	25.932	78521
-78.909	38.070	22980
-82.053	26.923	33950
-122.027	37.979	94519
-121.292	38.759	95678
-74.913	40.176	19047
-77.269	38.623	22191
-80.161	26.122	33311
-91.221	43.360	52151
-74.451	40.668	7922
-79.759	36.051	27401
-111.638	40.588	84092
-121.319	37.959	95203
-81.979	29.076	34472
-118.417	33.923	90245
-85.801	42.909	49428
-87.942	43.060	53205
-82.022	40.685	44676
-80.125	41.635	16335
-89.705	38.134	62286
-86.280	43.958	49454
-82.144	33.523	30809
-76.181	43.006	13215
-84.505	38.977	41015
-82.191	29.280	34482
-85.822	31.699	36010
-77.604	35.978	27809
-121.983	38.358	95688
-91.492	41.652	52245
-117.916	34.110	91702
-115.896	48.463	59935
-76.454	39.114	21122
-111.451	39.536	84647
-84.976	40.181	47394
-80.302	35.941	27295
-92.797	35.010	72126
-118.592	34.242	91311
-87.733	41.881	60624
-122.608	45.542	97213
-83.721	42.238	48108
-116.493	32.734	91962
-82.974	36.185	37818
-86.094	33.432	35160
-76.125	36.882	23455
-110.830	32.242	85715
-119.334	36.545	93666
-96.618	32.871	75043
-89.074	43.165	53559
-96.582	43.306	57013
-84.587	44.089	48624
-75.576	39.747	19805
-73.855	41.679	12603
-147.728	64.832	99701
-106.434	31.770	79905
-88.404	42.792	53120
-118.203	33.864	90805
-98.419	30.103	78606
-90.886	32.335	39181
-76.579	39.137	21060
-118.906	36.809	93727
-113.291	37.182	84737
-74.023	40.773	7087
-83.984	35.726	37803
-76.910	38.966	20737
-124.110	40.956	95521
-83.107	40.053	43026
-98.613	41.061	68824
-97.821	30.282	78746
-116.948	32.780	92020
-80.830	35.224	28202
-79.902	40.886	16001
-76.151	40.076	17505
-118.585	37.403	93514
-97.792	30.496	78717
-86.416	39.405	46151
-89.906	35.115	38117
-105.073	40.500	80525
-70.793	43.200	3908
-71.273	41.745	2885
-122.237	37.486	94062
-80.554	36.142	27018
-88.707	42.597	53114
-80.215	25.743	33133
-81.765	40.651	44627
-85.942	41.515	46526
-95.820	29.772	77494
-75.163	39.914	19148
-83.839	38.736	45167
-111.993	33.619	85032
-93.270	44.844	55420
-81.464	41.340	44087
-94.649	39.112	66102
-83.193	41.114	44883
-95.977	36.082	74105
-82.921	42.607	48038
-73.024	40.941	11766
-83.360	30.988	31632
-85.506	44.706	49686
-80.192	26.114	33312
-118.188	33.974	90201
-96.464	41.835	68045
-91.741	45.265	54728
-88.018	43.075	53222
-122.377	47.770	98177
-83.781	41.531	43571
-92.461	31.516	71467
-87.602	41.797	60615
-82.866	40.233	43074
-123.084	45.215	97114
-84.252	36.017	37830
-87.682	41.877	60612
-74.185	40.422	7730
-80.216	25.870	33150
-82.979	42.566	48312
-73.411	41.167	6897
-78.911	40.309	15902
-72.694	40.814	11960
-87.396	40.144	47932
-82.175	37.643	25678
